q1	q2	same	selected
1	44	y	y
1	54	y	n
1	76	y	n
1	93	n	n
1	34	y	n
1	17	y	n
1	27	n	n
1	64	n	n
1	66	n	n
1	71	n	n
1	88	n	n
2	72	n	n
2	91	n	n
2	36	n	n
2	42	n	n
2	48	n	n
3	8	n	n
3	68	n	n
3	97	n	n
3	71	n	n
3	46	n	n
4	33	y	n
4	9	n	n
4	30	n	n
4	31	n	n
4	62	n	n
4	100	n	n
5	41	n	n
5	60	n	n
5	87	n	n
5	46	n	n
5	67	n	n
6	18	y	n
6	45	y	y
6	99	y	n
6	57	y	n
6	35	y	n
6	29	y	n
6	66	y	n
6	83	n	n
6	13	n	n
6	8	n	n
6	70	n	n
6	65	n	n
7	55	y	n
7	86	y	n
7	65	y	n
7	77	n	n
7	43	y	n
7	96	n	n
7	70	n	n
7	6	n	n
7	66	n	n
7	20	n	n
8	83	n	n
8	66	n	n
8	79	n	n
8	70	n	n
9	85	n	n
9	100	y	y
9	20	n	n
9	59	n	n
9	51	n	n
9	21	n	n
10	56	y	y
10	87	y	n
10	78	y	n
10	28	y	n
10	41	y	n
10	16	y	n
10	67	n	n
10	26	n	n
10	31	y	n
10	39	n	n
10	95	y	n
10	5	n	n
10	46	n	n
10	68	n	n
10	97	n	n
10	80	n	n
11	91	y	n
11	36	y	n
11	21	y	y
11	51	y	n
11	61	y	n
11	72	n	n
11	48	n	n
11	2	n	n
11	73	n	n
11	42	n	n
12	92	y	n
12	52	y	n
12	32	y	n
12	63	y	n
12	23	y	y
12	74	y	n
12	42	y	n
12	75	n	n
12	82	y	n
12	53	n	n
12	25	n	n
12	94	n	n
12	13	n	n
12	83	n	n
13	53	y	n
13	25	y	n
13	75	y	y
13	94	y	n
13	83	y	n
13	18	n	n
13	45	n	n
13	35	n	n
13	99	n	n
14	58	n	n
14	28	n	n
14	56	n	n
14	10	n	n
14	78	n	n
15	37	y	n
15	22	y	n
15	86	n	n
15	66	n	n
15	43	n	n
15	96	n	n
15	6	n	n
16	78	y	n
16	87	y	n
16	28	y	n
16	56	y	y
16	31	y	n
16	41	y	n
16	67	y	n
16	95	n	n
16	39	n	n
16	46	n	n
16	5	n	n
16	26	n	n
17	34	n	n
17	54	y	n
17	44	y	y
17	93	n	n
17	76	n	n
17	64	n	n
17	27	n	n
17	88	n	n
17	81	n	n
17	66	n	n
18	45	y	y
18	99	y	n
18	35	y	n
18	57	y	n
18	29	y	n
18	66	y	n
18	65	n	n
18	25	n	n
18	53	n	n
18	83	n	n
19	89	y	n
19	50	n	n
19	80	n	n
19	26	n	n
19	39	n	n
19	87	n	n
20	59	n	n
20	100	y	y
20	65	n	n
20	8	n	n
20	99	n	n
20	45	n	n
21	51	y	n
21	61	y	n
21	91	y	n
21	36	y	n
21	48	n	n
21	72	n	n
21	2	n	n
21	73	n	n
21	82	n	n
22	37	y	n
22	43	n	n
22	86	y	n
22	66	n	n
22	8	n	n
22	69	n	n
22	98	n	n
22	82	n	n
23	42	y	n
23	82	y	n
23	74	y	n
23	2	n	n
23	91	n	n
23	36	n	n
23	11	n	n
23	72	n	n
24	59	n	n
24	64	n	n
24	3	n	n
24	20	n	n
24	71	n	n
25	53	y	n
25	94	y	n
25	83	y	n
25	75	y	y
25	45	n	n
25	35	n	n
25	57	n	n
25	99	n	n
26	80	n	n
26	87	n	n
26	50	y	y
26	56	n	n
26	39	n	n
26	28	n	n
26	41	n	n
27	64	n	n
27	54	n	n
27	44	n	n
27	34	n	n
28	67	y	n
28	31	y	n
28	87	y	n
28	56	y	y
28	41	y	n
28	95	y	n
28	78	y	n
28	39	n	n
28	80	n	n
28	5	n	n
28	46	n	n
29	35	y	n
29	99	y	n
29	45	y	y
29	57	y	n
29	66	y	n
29	65	n	n
29	25	n	n
29	13	n	n
29	53	n	n
29	77	n	n
30	60	n	n
30	31	n	n
30	90	n	n
30	95	n	n
30	67	n	n
31	95	y	n
31	67	y	n
31	87	y	n
31	56	y	y
31	41	y	n
31	78	y	n
31	80	n	n
31	39	n	n
31	60	n	n
31	26	n	n
32	52	y	n
32	92	y	n
32	74	y	n
32	63	y	n
32	75	n	n
32	23	y	y
32	13	n	n
32	82	y	n
32	42	y	n
32	25	n	n
32	53	n	n
32	46	n	n
32	94	n	n
32	97	n	n
33	49	n	n
33	30	n	n
33	31	n	n
33	9	n	n
33	67	n	n
34	44	y	y
34	93	n	n
34	54	n	n
34	76	y	n
34	64	n	n
34	88	n	n
34	66	n	n
34	81	n	n
35	99	y	n
35	45	y	y
35	57	y	n
35	66	y	n
35	65	n	n
35	53	n	n
35	8	n	n
36	91	y	n
36	51	y	n
36	61	y	n
36	72	n	n
36	48	n	n
36	42	n	n
36	82	n	n
37	86	n	n
37	66	n	n
37	43	n	n
37	96	n	n
37	99	n	n
38	73	y	n
38	48	n	n
38	51	n	n
38	21	n	n
38	61	n	n
38	2	n	n
39	97	y	n
39	46	y	y
39	87	n	n
39	41	n	n
39	68	y	n
39	80	n	n
39	56	n	n
39	78	n	n
40	56	n	n
40	26	n	n
40	10	n	n
40	80	n	n
40	58	n	n
41	87	y	n
41	56	y	y
41	78	y	n
41	46	n	n
41	67	n	n
41	97	n	n
41	95	y	n
41	80	n	n
41	50	n	n
41	68	n	n
41	60	n	n
42	82	y	n
42	74	y	n
42	91	n	n
42	51	n	n
42	61	n	n
43	96	y	n
43	86	n	n
43	77	n	n
43	55	n	n
43	70	n	n
43	8	n	n
43	66	n	n
44	54	y	n
44	76	y	n
44	93	y	n
44	64	n	n
44	88	n	n
44	66	n	n
44	81	n	n
45	99	y	n
45	57	n	n
45	66	y	n
45	65	n	n
45	53	n	n
45	83	n	n
46	87	n	n
46	68	y	n
46	97	n	n
46	84	n	n
46	80	n	n
46	56	n	n
47	79	n	n
47	88	n	n
47	72	n	n
47	91	n	n
47	11	n	n
48	51	n	n
48	91	n	n
48	72	n	n
49	71	n	n
49	81	n	n
49	3	n	n
49	98	n	n
50	80	n	n
50	5	n	n
50	39	n	n
50	89	n	n
50	87	n	n
51	61	y	n
51	91	y	n
51	72	n	n
51	2	n	n
51	73	n	n
52	92	n	n
52	63	n	n
52	74	y	n
52	13	n	n
52	75	n	n
52	23	y	y
52	53	n	n
52	94	n	n
52	25	n	n
52	83	n	n
52	82	y	n
52	42	y	n
52	26	n	n
52	84	n	n
52	46	n	n
52	97	n	n
52	19	y	n
52	68	n	n
52	80	n	n
52	62	n	n
52	88	n	n
52	8	n	n
53	83	n	n
53	94	y	n
53	75	y	y
53	57	n	n
53	99	n	n
54	93	n	n
54	76	n	n
54	64	n	n
54	88	n	n
55	86	y	n
55	77	n	n
55	65	n	n
55	96	n	n
55	70	n	n
56	87	y	n
56	78	y	n
56	67	n	n
56	95	y	n
56	5	n	n
56	58	n	n
57	99	y	n
57	66	y	n
57	83	n	n
57	70	n	n
57	65	n	n
58	80	n	n
58	50	n	n
58	78	n	n
59	100	y	y
59	8	n	n
59	65	n	n
59	3	n	n
60	67	n	n
60	90	n	n
61	91	y	n
61	48	n	n
61	72	n	n
61	2	n	n
61	73	n	n
62	93	n	n
62	76	n	n
62	37	n	n
62	33	n	n
63	92	n	n
63	74	n	n
63	23	y	y
63	42	y	n
63	82	y	n
63	75	n	n
63	53	n	n
63	94	n	n
63	83	n	n
63	26	n	n
64	66	n	n
65	77	n	n
65	99	n	n
66	99	y	n
66	83	n	n
66	86	n	n
67	87	n	n
67	95	y	n
67	78	y	n
67	39	n	n
67	26	n	n
67	80	n	n
68	97	y	n
68	87	n	n
68	84	n	n
68	5	n	n
69	79	n	n
69	15	n	n
69	37	n	n
69	70	n	n
70	79	n	n
70	86	n	n
